Name_raw,Name,Validity,Note,Street,Postal Code,City,Address,Location_latitude,Location_longitude,Category_Name,Website,Contact_Phone,Contact_Email_ID,Contact_Facebook,Contact_Instagram,Opening_Hours_0_day,Opening_Hours_0_hours,Opening_Hours_1_day,Opening_Hours_1_hours,Opening_Hours_2_day,Opening_Hours_2_hours,Opening_Hours_3_day,Opening_Hours_3_hours,Opening_Hours_4_day,Opening_Hours_4_hours,Opening_Hours_5_day,Opening_Hours_5_hours,Opening_Hours_6_day,Opening_Hours_6_hours,permanentlyClosed
Aasamai mandir,Aasamai Mandir,INVALID,,Salzschlirfer Straße 12,60386,Frankfurt-Ost,"Salzschlirfer Straße 12, 60386, Frankfurt-Ost, Germany",50.128963,8.744022,Hindu temple,http://www.aasamaimandir.com/,+49 69 40893860,,,,Monday,10 AM to 5 PM,Tuesday,10 AM to 5 PM,Wednesday,10 AM to 5 PM,Thursday,10 AM to 5 PM,Friday,10 AM to 5 PM,Saturday,10 AM to 5 PM,Sunday,10 AM to 5 PM,FALSE
Agrarservice Taura GbR,Agrarservice Taura Gbr,INVALID,,Köthensdorfer Str. 15,9249,Taura,"Köthensdorfer Str. 15, 9249, Taura, Germany",50.9181299,12.8489187,Hindu temple,,+49 172 8868340,,,,,,,,,,,,,,,,,,FALSE
Arjens Cs2 Palast,Arjens Cs2 Palast,INVALID,,Bethauer Str. 26,4886,Beilrode,"Bethauer Str. 26, 4886, Beilrode, Germany",51.649283,12.9844406,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Atelier,Atelier,INVALID,,Kehrwieder 5,22869,Schenefeld,"Kehrwieder 5, 22869, Schenefeld, Germany",53.6093878,9.8445401,Hindu temple,,+49 40 83019506,,,,,,,,,,,,,,,,,,FALSE
Aura tempel,Aura Tempel,INVALID,,Hahnemannstraße 12,91054,Erlangen,"Hahnemannstraße 12, 91054, Erlangen, Germany",49.6002863,11.030459,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Bhakti Marga Shri Radha Giridhari Temple,Bhakti Marga Shri Radha Giridhari Temple,,,Weinbergstraße 10,63571,Gelnhausen,"Weinbergstraße 10, 63571, Gelnhausen, Germany",50.209397,9.155987,Hindu temple,https://bhaktimarga.de/,+49 61246091125,"rezeption@bmsvd.net, willkommen@bhaktimarga.de, registration@bhaktimarga.org","https://www.facebook.com/ShreePeethaNilaya, https://www.facebook.com/bhaktimargadeutschland","https://www.instagram.com/bhaktimarga_deutschland, https://www.instagram.com/srivitthaldham",Monday,10 AM to 6 PM,Tuesday,10 AM to 6 PM,Wednesday,10 AM to 6 PM,Thursday,10 AM to 6 PM,Friday,10 AM to 6 PM,Saturday,10 AM to 6 PM,Sunday,10 AM to 6 PM,FALSE
Bhakti Marga Sri Vitthal Dham,Bhakti Marga Sri Vitthal Dham,,,Seepark 3,36275,Kirchheim,"Seepark 3, 36275, Kirchheim, Germany",50.817826,9.522003,Hindu temple,https://bhaktimarga.de/ashram-sri-vitthal-dham/,+49 61246091125,"rezeption@bmsvd.net, willkommen@bhaktimarga.de, registration@bhaktimarga.org","https://www.facebook.com/ShreePeethaNilaya, https://www.facebook.com/bhaktimargadeutschland","https://www.instagram.com/bhaktimarga_deutschland, https://www.instagram.com/srivitthaldham",Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,8:30 AM to 8 PM,Sunday,8:30 AM to 8 PM,FALSE
Blasius,Blasius,INVALID,,Admonter Ring 8,35415,Pohlheim,"Admonter Ring 8, 35415, Pohlheim, Germany",50.5338253,8.754138,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Bremen Sri Sivasakthikumaran Tempel e. V.,Sri Sivasakthikumaran Tempel e.V.,UNSURE,,Oyterdamm 55,28876,Oyten,"Oyterdamm 55, 28876, Oyten, Germany",53.0592622,8.976355,Hindu temple,,+49 421 4099725,,,,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,FALSE
Bundeshaus Schmalzgasse 5,Bundeshaus Schmalzgasse 5,INVALID,,Schmalzgasse 5 5,73630,Remshalden,"Schmalzgasse 5 5, 73630, Remshalden, Germany",48.8108503,9.4419604,Hindu temple,,+49 7151 9948363,,,,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,FALSE
