name,note,street,postal_code,city,address,location_latitude,location_longitude,website,contact_phone,contact_email_id,contact_facebook,contact_instagram,opening_hours
Bhakti Marga Shri Radha Giridhari Temple,,Weinbergstraße 10,63571,Gelnhausen,"Weinbergstraße 10, 63571, Gelnhausen, Germany",50.209397,9.155987,"[""https://bhaktimarga.de""]","[""+49 61246091125""]","[""rezeption@bmsvd.net"", ""willkommen@bhaktimarga.de"", ""registration@bhaktimarga.org""]","[""https://www.facebook.com/ShreePeethaNilaya"", ""https://www.facebook.com/bhaktimargadeutschland""]","[""https://www.instagram.com/bhaktimarga_deutschland"", ""https://www.instagram.com/srivitthaldham""]","{""Monday"": ""10:00\u201318:00"", ""Tuesday"": ""10:00\u201318:00"", ""Wednesday"": ""10:00\u201318:00"", ""Thursday"": ""10:00\u201318:00"", ""Friday"": ""10:00\u201318:00"", ""Saturday"": ""10:00\u201318:00"", ""Sunday"": ""10:00\u201318:00""}"
Bhakti Marga Sri Vitthal Dham,,Seepark 3,36275,Kirchheim,"Seepark 3, 36275, Kirchheim, Germany",50.817826,9.522003,"[""https://bhaktimarga.de/ashram-sri-vitthal-dham""]","[""+49 61246091125""]","[""rezeption@bmsvd.net"", ""willkommen@bhaktimarga.de"", ""registration@bhaktimarga.org""]","[""https://www.facebook.com/ShreePeethaNilaya"", ""https://www.facebook.com/bhaktimargadeutschland""]","[""https://www.instagram.com/bhaktimarga_deutschland"", ""https://www.instagram.com/srivitthaldham""]","{""Monday"": ""07:00\u201320:00"", ""Tuesday"": ""07:00\u201320:00"", ""Wednesday"": ""07:00\u201320:00"", ""Thursday"": ""07:00\u201320:00"", ""Friday"": ""07:00\u201320:00"", ""Saturday"": ""08:30\u201320:00"", ""Sunday"": ""08:30\u201320:00""}"
Chetna Shakti Mandir,,Steinstraße 12,45128,Essen,"Steinstraße 12, 45128, Essen, Germany",51.446187,7.015777,"[""https://www.instagram.com/chetnashakti_mandir""]",,,,"[""https://www.instagram.com/chetnashakti_mandir""]",
Ganesha Tempel Bad Meinberg,,Yogaweg 1,32805,Horn-Bad Meinberg,"Yogaweg 1, 32805, Horn-Bad Meinberg, Germany",51.900169,8.991173,"[""https://www.yoga-vidya.de""]","[""+49 5234 870""]","[""badmeinberg@yoga-vidya.de""]","[""https://www.facebook.com/YogaVidya""]","[""https://www.instagram.com/yogavidya_de""]",
"Ganesha Temple
(Sri Katpaka Vinayagar Temple)",,Intzestraße 26,60314,Frankfurt am Main,"Intzestraße 26, 60314, Frankfurt am Main, Germany",50.114758,8.729863,,"[""+49 6948001800""]","[""sasikaran23@gmail.com""]","[""https://www.facebook.com/SriKatpakaVinayagarTempleFrankfurt""]",,"{""Monday"": ""18:00\u201319:00"", ""Tuesday"": ""18:00\u201319:00"", ""Wednesday"": ""18:00\u201319:00"", ""Thursday"": ""18:00\u201319:00"", ""Friday"": ""18:00\u201319:00"", ""Saturday"": null, ""Sunday"": null}"
Goloka Dhama Club e.V.,,Böckingstraße 4A,55767,Abentheuer,"Böckingstraße 4A, 55767, Abentheuer, Germany",49.660795,7.08701,"[""https://www.goloka-dhama.de/english""]","[""+49 6782 2214""]",,"[""https://www.facebook.com/GolokaDhama""]","[""https://www.instagram.com/golokadhama""]","{""Monday"": ""04:30\u201319:30"", ""Tuesday"": ""04:30\u201319:30"", ""Wednesday"": ""04:30\u201319:30"", ""Thursday"": ""04:30\u201319:30"", ""Friday"": ""04:30\u201319:30"", ""Saturday"": ""04:30\u201319:30"", ""Sunday"": ""04:30\u201319:30""}"
Hanuman Mandir,a part of Bhakthi Marg,Am Geisberg 2,65321,Heidenrod,"Am Geisberg 2, 65321, Heidenrod, Germany",50.144714,7.991925,"[""https://www.bhaktimarga.org""]","[""+49 61246091125""]","[""rezeption@bmsvd.net"", ""willkommen@bhaktimarga.de"", ""registration@bhaktimarga.org""]","[""https://www.facebook.com/ShreePeethaNilaya"", ""https://www.facebook.com/bhaktimargadeutschland""]","[""https://www.instagram.com/bhaktimarga_deutschland"", ""https://www.instagram.com/srivitthaldham""]","{""Monday"": ""07:00\u201321:00"", ""Tuesday"": ""07:00\u201321:00"", ""Wednesday"": ""07:00\u201321:00"", ""Thursday"": ""07:00\u201321:00"", ""Friday"": ""07:00\u201321:00"", ""Saturday"": ""07:00\u201321:00"", ""Sunday"": ""07:00\u201321:00""}"
Hari Om Mandir,,Wikingerstraße 62,51107,Köln-Kalk,"Wikingerstraße 62, 51107, Köln-Kalk, Germany",50.91836,7.070601,"[""http://www.ahg-koeln.de""]","[""+49 221 8300009""]","[""info@ahg-koeln.de""]","[""https://www.facebook.com/mandirkoeln/?locale=de_DE""]",,"{""Monday"": ""10:00\u201318:00"", ""Tuesday"": ""10:00\u201318:00"", ""Wednesday"": ""~13:00\u201318:00"", ""Thursday"": ""Closed"", ""Friday"": ""~13:00\u201318:00"", ""Saturday"": ""Closed"", ""Sunday"": ""10:00\u201318:00""}"
Hari Om Mandir,,Bunsenstraße 200,34127,Kassel,"Bunsenstraße 200, 34127, Kassel, Germany",51.341844,9.482048,,,,"[""https://www.facebook.com/hariommandir.kassel""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""~12:00\u201318:00""}"
Hari Om Mandir (Hcc e.V.),,Morsestraße 32,60486,Frankfurt am Main,"Morsestraße 32, 60486, Frankfurt am Main, Germany",50.119564,8.625398,"[""https://hariommandirfrankfurt.com""]","[""+49 177 2795436""]",,,,"{""Monday"": ""10:00\u201319:00"", ""Tuesday"": ""10:00\u201319:00"", ""Wednesday"": ""10:00\u201319:00"", ""Thursday"": ""10:00\u201319:00"", ""Friday"": ""10:00\u201319:00"", ""Saturday"": ""10:00\u201319:00"", ""Sunday"": ""11:00\u201319:00""}"
